"","1","2","3"
"[0,5)",0.0317313458094407,NA,NA
"[5,10)",0.0325704995114236,NA,NA
"[10,15)",0.0419677295380707,NA,NA
"[15,20)",0.023156141659433,NA,NA
"[20,25)",0.0201125863337428,NA,NA
"[25,30)",0.0161122906915821,NA,NA
"[30,35)",0.0131900907738973,NA,NA
"[35,40)",0.00834847109936721,0.0131171194829281,NA
"[40,45)",NA,0.00846244073691549,NA
"[45,50)",NA,0.00712312545559587,NA
"[50,55)",NA,0.00558415577316082,NA
"[55,60)",NA,0.00568031775979279,NA
"[60,65)",NA,0.0055065942873215,NA
"[65,70)",NA,0.00483725281314981,NA
"[70,75)",NA,0.00486373457113927,NA
"[75,80)",NA,0.00454858826147353,NA
"[80,85)",NA,0.00461414375379074,NA
"[85,90)",NA,0.00568031775979277,NA
"[90,95)",NA,0.00824360292877523,NA
"[95,100)",NA,0.00768851744438487,NA
"[100,105)",NA,0.00715421523990746,NA
"[105,110)",NA,0.0072090528746676,NA
"[110,115)",NA,0.0127759855373905,NA
"[115,120)",NA,0.00950758058971623,NA
"[120,125)",NA,0.00486373457113931,NA
"[125,130)",NA,0.00483725281314986,NA
"[130,135)",NA,0.00475190963311502,NA
"[135,140)",NA,0.00483725281314986,NA
"[140,145)",NA,0.00486373457113931,NA
"[145,150)",NA,0.00483725281314986,NA
"[150,155)",NA,0.0044480272297458,NA
"[155,160)",NA,0.00470823615430769,NA
"[160,165)",NA,0.00508000508000774,NA
"[165,170)",NA,0.0050854762771562,NA
"[170,175)",NA,0.0176769091834396,NA
"[175,180)",NA,0.0220277478394149,NA
"[180,185)",NA,0.0202776427549882,NA
"[185,190)",NA,0.0514135172274236,NA
"[190,195)",NA,0.0175793133558884,NA
"[195,200)",NA,0.0278498790580282,NA
"[200,205)",NA,0.0269559525267311,0.0291547594742266
"[205,210)",NA,NA,0.0239663146197575
"[210,215)",NA,NA,0.0277979724571284
"[215,220)",NA,NA,NA
"[220,225)",NA,NA,NA
"[225,Inf)",NA,NA,NA
